country,total_data_centers,hyperscale_data_centers,colocation_data_centers,floor_space_sqft_total,power_capacity_MW_total,average_renewable_energy_usage_percent,internet_penetration_percent,growth_rate_of_data_centers_percent_per_year,tier_I,tier_II,tier_III,tier_IV,has_tier_info,num_cooling_technologies,region
Morocco,1.6094379124341003,0.0,1.6094379124341003,10.668978650219241,3.258096538021482,90.0,90.0,7.02197642307216,0.0,0.0,1.0,0.0,1.0,4.0,Africa
Mozambique,2.0794415416798357,0.0,2.0794415416798357,9.99884318585288,2.0794415416798357,0.0,23.0,6.90875477931522,0.0,0.0,1.0,0.0,0.0,3.0,Africa
Myanmar,1.791759469228055,0.0,1.791759469228055,9.798182590890704,1.6094379124341003,41.0,41.0,6.587550014824796,0.0,0.0,1.0,0.0,1.0,3.0,Asia
Namibia,1.0986122886681098,0.0,1.0986122886681098,9.392745258631441,1.0986122886681098,64.4,64.4,6.175867270105761,0.0,1.0,0.0,0.0,1.0,4.0,Africa
Nepal,2.0794415416798357,0.0,2.0794415416798357,10.239995502805316,1.6094379124341003,50.0,50.0,6.587550014824796,0.0,0.0,1.0,0.0,1.0,4.0,Asia
New Zealand,3.4339872044851463,0.0,3.4339872044851463,12.676079399771027,5.356586274672012,96.0,96.2,7.19668657083435,0.0,0.0,1.0,0.0,1.0,4.0,Oceania
Nicaragua,1.3862943611198906,0.0,1.3862943611198906,9.61587214452889,1.3862943611198906,71.3,71.3,6.415096959171596,0.0,0.0,1.0,0.0,1.0,4.0,Latin America
Niger,0.6931471805599453,0.0,0.6931471805599453,8.517393171418904,1.0986122886681098,0.0,15.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,Africa
Nigeria,2.8903717578961645,0.0,2.8903717578961645,12.971542813248437,4.927253685157205,48.2,48.2,7.365812837209472,0.0,1.0,1.0,0.0,1.0,4.0,Africa
North Macedonia,1.791759469228055,0.0,1.791759469228055,10.819798284210286,3.044522437723423,92.0,92.0,6.673297967767654,0.0,0.0,1.0,0.0,1.0,4.0,Europe
Norway,3.295836866004329,0.0,3.295836866004329,14.914123179965662,6.218600119691729,98.0,96.2,6.937314081223682,0.0,0.0,1.0,1.0,1.0,5.0,Europe
Oman,1.9459101490553132,0.0,1.9459101490553132,11.451060699493427,2.9444389791664403,95.0,95.3,6.93828448401696,0.0,0.0,1.0,0.0,1.0,5.0,Middle East
Pakistan,3.1354942159291497,0.0,3.1354942159291497,12.611541086966115,7.221105098182496,48.2,48.2,6.091309882077698,0.0,1.0,1.0,0.0,1.0,5.0,Asia
Palau,0.0,0.0,0.0,0.0,0.0,57.5,57.5,7.518064181233078,0.0,0.0,1.0,0.0,0.0,3.0,Oceania
Panama,2.1972245773362196,0.0,2.1972245773362196,10.308985993422082,2.3978952727983707,78.0,78.0,7.065613363597717,0.0,0.0,1.0,0.0,1.0,4.0,Latin America
Papua New Guinea,1.0986122886681098,0.0,1.0986122886681098,9.210440366976517,0.6931471805599453,24.0,24.1,5.198497031265826,0.0,1.0,0.0,0.0,1.0,3.0,Oceania
Paraguay,2.1972245773362196,0.0,2.1972245773362196,10.463131911491967,1.0986122886681098,83.0,83.0,7.155396301896734,0.0,0.0,1.0,0.0,1.0,4.0,Latin America
Peru,2.3978952727983707,0.0,2.3978952727983707,10.968215530759236,2.5649493574615367,79.5,79.5,7.353081920515432,0.0,0.0,1.0,0.0,1.0,4.0,Latin America
Philippines,3.091042453358316,0.0,3.091042453358316,14.639686439527019,6.210600077024653,98.0,98.0,7.640603826393634,0.0,0.0,1.0,0.0,1.0,5.0,Asia
Portugal,2.3978952727983707,0.0,2.3978952727983707,12.694655727828803,3.8918202981106265,85.5,85.5,7.687538766201629,0.0,0.0,1.0,0.0,1.0,5.0,Europe
Qatar,2.6390573296152584,0.0,2.6390573296152584,12.206077645517674,4.795790545596741,99.0,99.0,6.683360945766275,0.0,0.0,1.0,1.0,1.0,5.0,Middle East
